target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration,start_time_mjd,block_number,ra_hr
60_14,2026-07-17 23:26:52.062,2026-07-17 23:28:32.062,1.6666666666665542,251.16279069767447,-57.27272727272727,{'dither': False},61238.97699145833,0,16.744186046511633
62_14,2026-07-17 23:28:32.062,2026-07-17 23:30:12.062,1.666666666666714,259.5348837209303,-57.27272727272727,{'dither': False},61238.97814886574,0,17.302325581395355
64_14,2026-07-17 23:30:12.062,2026-07-17 23:31:52.062,1.666666666666714,267.90697674418607,-57.27272727272727,{'dither': False},61238.97930627315,0,17.860465116279073
66_14,2026-07-17 23:31:52.062,2026-07-17 23:33:32.062,1.666666666666714,276.27906976744185,-57.27272727272727,{'dither': False},61238.98046368056,0,18.418604651162795
74_16,2026-07-17 23:33:32.062,2026-07-17 23:35:12.062,1.666666666666714,277.5,-52.5974025974026,{'dither': False},61238.981621087965,0,18.500000000000004
72_16,2026-07-17 23:35:12.062,2026-07-17 23:36:52.062,1.666666666666714,270.0,-52.5974025974026,{'dither': False},61238.98277849537,0,18.000000000000004
70_16,2026-07-17 23:36:52.062,2026-07-17 23:38:32.062,1.666666666666714,262.49999999999994,-52.5974025974026,{'dither': False},61238.983935902776,0,17.5
68_16,2026-07-17 23:38:32.062,2026-07-17 23:40:12.062,1.666666666666714,254.99999999999997,-52.5974025974026,{'dither': False},61238.985093310184,0,17.0
78_18,2026-07-17 23:40:12.062,2026-07-17 23:41:52.062,1.666666666666714,267.42857142857144,-47.922077922077925,{'dither': False},61238.98625071759,0,17.828571428571433
80_18,2026-07-17 23:41:52.062,2026-07-17 23:43:32.062,1.666666666666714,274.2857142857143,-47.922077922077925,{'dither': False},61238.987408125,0,18.28571428571429
82_18,2026-07-17 23:43:32.062,2026-07-17 23:45:12.062,1.666666666666714,281.14285714285717,-47.922077922077925,{'dither': False},61238.98856553241,0,18.742857142857147
88_20,2026-07-17 23:45:12.062,2026-07-17 23:46:52.062,1.666666666666714,277.89473684210526,-43.24675324675325,{'dither': False},61238.98972293981,0,18.52631578947369
86_20,2026-07-17 23:46:52.062,2026-07-17 23:48:32.062,1.666666666666714,271.57894736842104,-43.24675324675325,{'dither': False},61238.99088034722,0,18.10526315789474
68_14,2026-07-17 23:48:32.062,2026-07-17 23:50:12.062,1.666666666666714,284.65116279069764,-57.27272727272727,{'dither': False},61238.99203775463,0,18.976744186046513
76_16,2026-07-17 23:50:12.062,2026-07-17 23:51:52.062,1.666666666666714,285.0,-52.5974025974026,{'dither': False},61238.99319516204,0,19.000000000000004
90_20,2026-07-17 23:51:52.062,2026-07-17 23:53:32.062,1.666666666666714,284.2105263157895,-43.24675324675325,{'dither': False},61238.99435256945,0,18.947368421052637
