target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration,start_time_mjd,block_number,ra_hr
102_26,2026-07-19 23:27:44.199,2026-07-19 23:29:24.199,1.6666666666665542,270.0,-29.220779220779225,{'dither': False},61240.977594895834,0,18.000000000000004
104_26,2026-07-19 23:29:24.199,2026-07-19 23:31:04.199,1.666666666666714,275.2941176470588,-29.220779220779225,{'dither': False},61240.97875230324,0,18.35294117647059
108_28,2026-07-19 23:31:04.199,2026-07-19 23:32:44.199,1.666666666666714,275.74468085106383,-24.545454545454543,{'dither': False},61240.97990971065,0,18.38297872340426
106_28,2026-07-19 23:32:44.199,2026-07-19 23:34:24.199,1.666666666666714,270.63829787234044,-24.545454545454543,{'dither': False},61240.98106711805,0,18.042553191489368
104_28,2026-07-19 23:34:24.199,2026-07-19 23:36:04.199,1.666666666666714,265.531914893617,-24.545454545454543,{'dither': False},61240.98222452546,0,17.70212765957447
108_30,2026-07-19 23:36:04.199,2026-07-19 23:37:44.199,1.666666666666714,266.3013698630137,-19.870129870129876,{'dither': False},61240.98338193287,0,17.75342465753425
110_30,2026-07-19 23:37:44.199,2026-07-19 23:39:24.199,1.666666666666714,271.2328767123288,-19.870129870129876,{'dither': False},61240.98453934028,0,18.082191780821923
112_30,2026-07-19 23:39:24.199,2026-07-19 23:41:04.199,1.666666666666714,276.16438356164383,-19.870129870129876,{'dither': False},61240.98569674769,0,18.41095890410959
114_32,2026-07-19 23:41:04.199,2026-07-19 23:42:44.199,1.666666666666714,275.43624161073825,-15.194805194805197,{'dither': False},61240.98685415509,0,18.362416107382554
112_32,2026-07-19 23:42:44.199,2026-07-19 23:44:24.199,1.666666666666714,270.6040268456376,-15.194805194805197,{'dither': False},61240.9880115625,0,18.04026845637584
114_34,2026-07-19 23:44:24.199,2026-07-19 23:46:04.199,1.666666666666714,270.0,-10.519480519480515,{'dither': False},61240.98916896991,0,18.000000000000004
114_36,2026-07-19 23:46:04.199,2026-07-19 23:47:44.199,1.666666666666714,268.2352941176471,-5.84415584415585,{'dither': False},61240.990326377316,0,17.882352941176475
116_34,2026-07-19 23:47:44.199,2026-07-19 23:49:24.199,1.666666666666714,274.7368421052632,-10.519480519480515,{'dither': False},61240.991483784725,0,18.315789473684216
Unused Time,2026-07-19 23:49:24.199,2026-07-19 23:54:24.199,4.999999999999982,,,,61240.992641192126,0,
114_30,2026-07-19 23:54:24.199,2026-07-19 23:56:04.199,1.6666666666665542,281.09589041095893,-19.870129870129876,{'dither': False},61240.99611341435,0,18.739726027397264
116_36,2026-07-19 23:56:04.199,2026-07-19 23:57:44.199,1.6666666666663943,272.9411764705882,-5.84415584415585,{'dither': False},61240.99727082176,0,18.19607843137255
102_26_dither,2026-07-19 23:57:44.199,2026-07-19 23:59:24.199,1.666666666666874,267.5241486111111,-29.220779220779225,{'dither': True},61240.99842822917,1,17.834943240740746
104_26_dither,2026-07-19 23:59:24.199,2026-07-20 00:01:04.199,1.666666666666634,272.8182662581699,-29.220779220779225,{'dither': True},61240.99958563657,1,18.18788441721133
108_28_dither,2026-07-20 00:01:04.199,2026-07-20 00:02:44.199,1.666666666666634,273.26882946217495,-24.545454545454543,{'dither': True},61241.00074304398,1,18.217921964145
106_28_dither,2026-07-20 00:02:44.199,2026-07-20 00:04:24.199,1.666666666666634,268.16244648345156,-24.545454545454543,{'dither': True},61241.00190045139,1,17.877496432230107
104_28_dither,2026-07-20 00:04:24.199,2026-07-20 00:06:04.199,1.666666666666634,263.0560635047281,-24.545454545454543,{'dither': True},61241.0030578588,1,17.53707090031521
108_30_dither,2026-07-20 00:06:04.199,2026-07-20 00:07:44.199,1.666666666666634,263.8255184741248,-19.870129870129876,{'dither': True},61241.004215266206,1,17.588367898274992
110_30_dither,2026-07-20 00:07:44.199,2026-07-20 00:09:24.199,1.666666666666634,268.7570253234399,-19.870129870129876,{'dither': True},61241.00537267361,1,17.917135021562665
112_30_dither,2026-07-20 00:09:24.199,2026-07-20 00:11:04.199,1.666666666666634,273.68853217275495,-19.870129870129876,{'dither': True},61241.00653008102,1,18.245902144850334
114_30_dither,2026-07-20 00:11:04.199,2026-07-20 00:12:44.199,1.666666666666634,278.62003902207005,-19.870129870129876,{'dither': True},61241.007687488425,1,18.574669268138006
114_32_dither,2026-07-20 00:12:44.199,2026-07-20 00:14:24.199,1.666666666666634,272.96039022184937,-15.194805194805197,{'dither': True},61241.008844895834,1,18.197359348123296
112_32_dither,2026-07-20 00:14:24.199,2026-07-20 00:16:04.199,1.666666666666634,268.1281754567487,-15.194805194805197,{'dither': True},61241.01000230324,1,17.875211697116583
114_34_dither,2026-07-20 00:16:04.199,2026-07-20 00:17:44.199,1.666666666666634,267.5241486111111,-10.519480519480515,{'dither': True},61241.01115971065,1,17.834943240740746
116_34_dither,2026-07-20 00:17:44.199,2026-07-20 00:19:24.199,1.666666666666634,272.2609907163743,-10.519480519480515,{'dither': True},61241.01231711805,1,18.150732714424958
116_36_dither,2026-07-20 00:19:24.199,2026-07-20 00:21:04.199,1.666666666666634,270.4653250816993,-5.84415584415585,{'dither': True},61241.01347452546,1,18.03102167211329
114_36_dither,2026-07-20 00:21:04.199,2026-07-20 00:22:44.199,1.666666666666634,265.7594427287582,-5.84415584415585,{'dither': True},61241.01463193287,1,17.717296181917217
116_38_dither,2026-07-20 00:22:44.199,2026-07-20 00:24:24.199,1.666666666666634,268.6929797799423,-1.16883116883117,{'dither': True},61241.01578934028,1,17.91286531866282
116_40_dither,2026-07-20 00:24:24.199,2026-07-20 00:26:04.199,1.666666666666634,268.6929797799423,3.5064935064934972,{'dither': True},61241.01694674769,1,17.91286531866282
Unused Time,2026-07-20 00:26:04.199,2026-07-20 00:27:44.199,1.666666666666874,,,,61241.01810415509,1,
102_28,2026-07-20 00:27:44.199,2026-07-20 00:29:24.199,1.666666666666634,260.4255319148936,-24.545454545454543,{'dither': False},61241.0192615625,2,17.361702127659576
116_32,2026-07-20 00:29:24.199,2026-07-20 00:31:04.199,1.666666666666634,280.2684563758389,-15.194805194805197,{'dither': False},61241.02041896991,2,18.684563758389267
110_32,2026-07-20 00:31:04.199,2026-07-20 00:32:44.199,1.666666666666634,265.77181208053696,-15.194805194805197,{'dither': False},61241.021576377316,2,17.718120805369136
104_34,2026-07-20 00:32:44.199,2026-07-20 00:34:24.199,1.666666666666634,246.3157894736842,-10.519480519480515,{'dither': False},61241.022733784725,2,16.42105263157895
106_34,2026-07-20 00:34:24.199,2026-07-20 00:36:04.199,1.666666666666634,251.05263157894737,-10.519480519480515,{'dither': False},61241.023891192126,2,16.73684210526316
108_34,2026-07-20 00:36:04.199,2026-07-20 00:37:44.199,1.666666666666634,255.78947368421055,-10.519480519480515,{'dither': False},61241.025048599535,2,17.052631578947373
110_34,2026-07-20 00:37:44.199,2026-07-20 00:39:24.199,1.666666666666634,260.52631578947364,-10.519480519480515,{'dither': False},61241.02620600694,2,17.36842105263158
112_34,2026-07-20 00:39:24.199,2026-07-20 00:41:04.199,1.666666666666634,265.2631578947368,-10.519480519480515,{'dither': False},61241.02736341435,2,17.68421052631579
118_34,2026-07-20 00:41:04.199,2026-07-20 00:42:44.199,1.666666666666634,279.4736842105263,-10.519480519480515,{'dither': False},61241.02852082176,2,18.631578947368425
120_34,2026-07-20 00:42:44.199,2026-07-20 00:44:24.199,1.666666666666634,284.2105263157895,-10.519480519480515,{'dither': False},61241.02967822917,2,18.947368421052637
122_34,2026-07-20 00:44:24.199,2026-07-20 00:46:04.199,1.666666666666714,288.94736842105266,-10.519480519480515,{'dither': False},61241.03083563657,2,19.263157894736846
120_36,2026-07-20 00:46:04.199,2026-07-20 00:47:44.199,1.666666666666714,282.35294117647055,-5.84415584415585,{'dither': False},61241.03199304398,2,18.823529411764707
118_36,2026-07-20 00:47:44.199,2026-07-20 00:49:24.199,1.666666666666714,277.6470588235294,-5.84415584415585,{'dither': False},61241.03315045139,2,18.50980392156863
112_36,2026-07-20 00:49:24.199,2026-07-20 00:51:04.199,1.666666666666714,263.52941176470586,-5.84415584415585,{'dither': False},61241.0343078588,2,17.568627450980394
110_36,2026-07-20 00:51:04.199,2026-07-20 00:52:44.199,1.666666666666714,258.8235294117647,-5.84415584415585,{'dither': False},61241.035465266206,2,17.254901960784316
108_36,2026-07-20 00:52:44.199,2026-07-20 00:54:24.199,1.666666666666714,254.1176470588235,-5.84415584415585,{'dither': False},61241.03662267361,2,16.941176470588236
114_38,2026-07-20 00:54:24.199,2026-07-20 00:56:04.199,1.666666666666714,266.4935064935065,-1.16883116883117,{'dither': False},61241.03778008102,2,17.76623376623377
Unused Time,2026-07-20 00:56:04.199,2026-07-20 00:57:44.199,1.666666666666714,,,,61241.038937488425,2,
