target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration,block_number,ra_hr
28_20,2026-04-29 23:30:49.243,2026-04-29 23:32:29.243,1.6666666666665542,88.42105263157895,-43.24675324675325,{'dither': False},0,5.894736842105264
30_20,2026-04-29 23:32:29.243,2026-04-29 23:34:09.243,1.666666666666714,94.73684210526316,-43.24675324675325,{'dither': False},0,6.315789473684212
30_22,2026-04-29 23:34:09.243,2026-04-29 23:35:49.243,1.666666666666714,88.52459016393442,-38.57142857142857,{'dither': False},0,5.901639344262295
26_18,2026-04-29 23:35:49.243,2026-04-29 23:37:29.243,1.666666666666714,89.14285714285715,-47.922077922077925,{'dither': False},0,5.942857142857145
32_22,2026-04-29 23:37:29.243,2026-04-29 23:39:09.243,1.666666666666714,94.42622950819673,-38.57142857142857,{'dither': False},0,6.295081967213116
28_18,2026-04-29 23:39:09.243,2026-04-29 23:40:49.243,1.666666666666714,96.0,-47.922077922077925,{'dither': False},0,6.400000000000001
32_20,2026-04-29 23:40:49.243,2026-04-29 23:42:29.243,1.666666666666714,101.05263157894736,-43.24675324675325,{'dither': False},0,6.736842105263158
32_24,2026-04-29 23:42:29.243,2026-04-29 23:44:09.243,1.666666666666714,89.30232558139535,-33.896103896103895,{'dither': False},0,5.953488372093025
24_16,2026-04-29 23:44:09.243,2026-04-29 23:45:49.243,1.666666666666714,90.0,-52.5974025974026,{'dither': False},0,6.000000000000001
34_22,2026-04-29 23:45:49.243,2026-04-29 23:47:29.243,1.666666666666714,100.327868852459,-38.57142857142857,{'dither': False},0,6.688524590163935
34_24,2026-04-29 23:47:29.243,2026-04-29 23:49:09.243,1.666666666666714,94.88372093023256,-33.896103896103895,{'dither': False},0,6.325581395348839
30_18,2026-04-29 23:49:09.243,2026-04-29 23:50:49.243,1.666666666666714,102.85714285714286,-47.922077922077925,{'dither': False},0,6.8571428571428585
26_16,2026-04-29 23:50:49.243,2026-04-29 23:52:29.243,1.666666666666714,97.5,-52.5974025974026,{'dither': False},0,6.500000000000001
36_24,2026-04-29 23:52:29.243,2026-04-29 23:54:09.243,1.666666666666714,100.46511627906976,-33.896103896103895,{'dither': False},0,6.697674418604652
34_20,2026-04-29 23:54:09.243,2026-04-29 23:55:49.243,1.666666666666714,107.36842105263158,-43.24675324675325,{'dither': False},0,7.157894736842106
