ra_deg,dec_deg,Field Name,l,b,program_id,last_scheduled_mjd
0.0,-90.0,0_0,302.9319252554167,-27.128252414968014,1,0.0
0.0,-85.32467532467533,0_2,304.1534124825223,-31.680995142693835,1,0.0
45.0,-85.32467532467533,2_2,300.03044536897534,-31.05705939450088,1,0.0
90.0,-85.32467532467533,4_2,297.7647781168062,-28.074005794810972,1,0.0
135.0,-85.32467532467533,6_2,298.57946257572985,-24.57438382318309,1,0.0
180.0,-85.32467532467533,8_2,301.8062903609383,-22.565770980056847,1,0.0
225.0,-85.32467532467533,10_2,305.634881196598,-23.143894509609822,1,0.0
270.0,-85.32467532467533,12_2,308.0040939174667,-25.99683549667495,1,0.0
315.0,-85.32467532467533,14_2,307.48203804639047,-29.541832403611785,1,0.0
0.0,-80.64935064935065,0_4,305.5009599058609,-36.220898005258825,1,0.0
25.714285714285715,-80.64935064935065,2_4,300.3638023666418,-36.22108427093831,1,0.0
51.42857142857143,-80.64935064935065,4_4,295.89170205601425,-34.26233361703844,1,0.0
77.14285714285714,-80.64935064935065,6_4,293.11542257620397,-30.84188173969767,1,0.0
102.85714285714286,-80.64935064935065,8_4,292.449655846768,-26.739244862620673,1,0.0
128.57142857142858,-80.64935064935065,10_4,293.79623468136697,-22.779756076181332,1,0.0
154.28571428571428,-80.64935064935065,12_4,296.755145698442,-19.686555580059338,1,0.0
180.0,-80.64935064935065,14_4,300.75296637267485,-17.99595648551571,1,0.0
205.71428571428572,-80.64935064935065,16_4,305.11010382033317,-17.995798487350484,1,0.0
231.42857142857142,-80.64935064935065,18_4,309.1080537580638,-19.686108399223443,1,0.0
257.14285714285717,-80.64935064935065,20_4,312.06720960799584,-22.779096180244117,1,0.0
282.85714285714283,-80.64935064935065,22_4,313.4141241809672,-26.73848870226572,1,0.0
308.57142857142856,-80.64935064935065,24_4,312.7487438626089,-30.841173105119175,1,0.0
334.2857142857143,-80.64935064935065,26_4,309.9728288418912,-34.26182416965162,1,0.0
0.0,-75.97402597402598,0_6,307.01457843486037,-40.743829652627575,1,0.0
17.5609756097561,-75.97402597402598,2_6,301.42136917993287,-41.099021147272225,1,0.0
35.1219512195122,-75.97402597402598,4_6,296.05373562628955,-39.94182793364349,1,0.0
52.6829268292683,-75.97402597402598,6_6,291.6574632875021,-37.44868176584516,1,0.0
70.2439024390244,-75.97402597402598,8_6,288.68317566866136,-33.96254523635548,1,0.0
87.8048780487805,-75.97402597402598,10_6,287.2697101807635,-29.895168454369767,1,0.0
105.3658536585366,-75.97402597402598,12_6,287.35029902337,-25.65533084422991,1,0.0
122.9268292682927,-75.97402597402598,14_6,288.7578948207821,-21.615585661642353,1,0.0
140.4878048780488,-75.97402597402598,16_6,291.2813887436619,-18.101232869842224,1,0.0
158.0487804878049,-75.97402597402598,18_6,294.68161092315154,-15.384243062077347,1,0.0
175.609756097561,-75.97402597402598,20_6,298.69013743562186,-13.673683698467107,1,0.0
193.1707317073171,-75.97402597402598,22_6,303.0093772918757,-13.102465620895432,1,0.0
210.7317073170732,-75.97402597402598,24_6,307.3229500815087,-13.715382242192668,1,0.0
228.2926829268293,-75.97402597402598,26_6,311.3148449142583,-15.464379505457106,1,0.0
245.8536585365854,-75.97402597402598,28_6,314.68839566516186,-18.21361600407506,1,0.0
