ra_deg,dec_deg
0.0,-90.0
0.0,-85.60975609756098
36.0,-85.60975609756098
72.0,-85.60975609756098
108.0,-85.60975609756098
144.0,-85.60975609756098
180.0,-85.60975609756098
216.0,-85.60975609756098
252.0,-85.60975609756098
288.0,-85.60975609756098
324.0,-85.60975609756098
0.0,-81.21951219512195
22.5,-81.21951219512195
45.0,-81.21951219512195
67.5,-81.21951219512195
90.0,-81.21951219512195
112.5,-81.21951219512195
135.0,-81.21951219512195
157.5,-81.21951219512195
180.0,-81.21951219512195
202.5,-81.21951219512195
225.0,-81.21951219512195
247.49999999999997,-81.21951219512195
270.0,-81.21951219512195
292.5,-81.21951219512195
315.0,-81.21951219512195
337.5,-81.21951219512195
0.0,-76.82926829268293
16.363636363636363,-76.82926829268293
32.72727272727273,-76.82926829268293
49.090909090909086,-76.82926829268293
65.45454545454545,-76.82926829268293
81.81818181818183,-76.82926829268293
98.18181818181817,-76.82926829268293
114.54545454545455,-76.82926829268293
130.9090909090909,-76.82926829268293
147.27272727272725,-76.82926829268293
163.63636363636365,-76.82926829268293
180.0,-76.82926829268293
196.36363636363635,-76.82926829268293
212.72727272727272,-76.82926829268293
229.0909090909091,-76.82926829268293
245.45454545454547,-76.82926829268293
261.8181818181818,-76.82926829268293
278.1818181818182,-76.82926829268293
294.5454545454545,-76.82926829268293
310.90909090909093,-76.82926829268293
327.2727272727273,-76.82926829268293
343.6363636363636,-76.82926829268293
0.0,-72.4390243902439
12.857142857142858,-72.4390243902439
25.714285714285715,-72.4390243902439
38.57142857142857,-72.4390243902439
51.42857142857143,-72.4390243902439
64.28571428571429,-72.4390243902439
77.14285714285714,-72.4390243902439
90.0,-72.4390243902439
102.85714285714286,-72.4390243902439
115.71428571428571,-72.4390243902439
128.57142857142858,-72.4390243902439
141.42857142857142,-72.4390243902439
154.28571428571428,-72.4390243902439
167.14285714285714,-72.4390243902439
180.0,-72.4390243902439
192.85714285714286,-72.4390243902439
205.71428571428572,-72.4390243902439
218.57142857142858,-72.4390243902439
231.42857142857142,-72.4390243902439
244.28571428571428,-72.4390243902439
257.14285714285717,-72.4390243902439
270.0,-72.4390243902439
282.85714285714283,-72.4390243902439
295.7142857142857,-72.4390243902439
308.57142857142856,-72.4390243902439
321.42857142857144,-72.4390243902439
334.2857142857143,-72.4390243902439
347.14285714285717,-72.4390243902439
0.0,-68.04878048780488
10.909090909090908,-68.04878048780488
21.818181818181817,-68.04878048780488
32.72727272727273,-68.04878048780488
43.63636363636363,-68.04878048780488
54.54545454545454,-68.04878048780488
65.45454545454545,-68.04878048780488
76.36363636363636,-68.04878048780488
87.27272727272727,-68.04878048780488
98.18181818181817,-68.04878048780488
109.09090909090908,-68.04878048780488
119.99999999999999,-68.04878048780488
130.9090909090909,-68.04878048780488
141.8181818181818,-68.04878048780488
152.72727272727272,-68.04878048780488
163.63636363636363,-68.04878048780488
174.54545454545453,-68.04878048780488
185.45454545454547,-68.04878048780488
196.36363636363635,-68.04878048780488
207.27272727272728,-68.04878048780488
218.18181818181816,-68.04878048780488
229.0909090909091,-68.04878048780488
239.99999999999997,-68.04878048780488
250.9090909090909,-68.04878048780488
261.8181818181818,-68.04878048780488
272.72727272727275,-68.04878048780488
283.6363636363636,-68.04878048780488
294.5454545454545,-68.04878048780488
305.45454545454544,-68.04878048780488
316.3636363636364,-68.04878048780488
327.27272727272725,-68.04878048780488
338.1818181818182,-68.04878048780488
349.09090909090907,-68.04878048780488
0.0,-63.658536585365844
9.23076923076923,-63.658536585365844
18.46153846153846,-63.658536585365844
27.69230769230769,-63.658536585365844
36.92307692307692,-63.658536585365844
46.153846153846146,-63.658536585365844
55.38461538461538,-63.658536585365844
64.61538461538461,-63.658536585365844
73.84615384615384,-63.658536585365844
83.07692307692307,-63.658536585365844
92.30769230769229,-63.658536585365844
101.53846153846153,-63.658536585365844
110.76923076923076,-63.658536585365844
119.99999999999999,-63.658536585365844
129.23076923076923,-63.658536585365844
138.46153846153845,-63.658536585365844
147.69230769230768,-63.658536585365844
156.92307692307693,-63.658536585365844
166.15384615384613,-63.658536585365844
175.3846153846154,-63.658536585365844
184.61538461538458,-63.658536585365844
193.84615384615384,-63.658536585365844
203.07692307692307,-63.658536585365844
212.3076923076923,-63.658536585365844
221.53846153846152,-63.658536585365844
230.76923076923075,-63.658536585365844
239.99999999999997,-63.658536585365844
249.23076923076923,-63.658536585365844
258.46153846153845,-63.658536585365844
267.6923076923077,-63.658536585365844
276.9230769230769,-63.658536585365844
286.15384615384613,-63.658536585365844
295.38461538461536,-63.658536585365844
304.6153846153846,-63.658536585365844
313.84615384615387,-63.658536585365844
323.07692307692304,-63.658536585365844
332.30769230769226,-63.658536585365844
341.5384615384615,-63.658536585365844
350.7692307692308,-63.658536585365844
0.0,-59.26829268292682
8.181818181818182,-59.26829268292682
16.363636363636363,-59.26829268292682
24.545454545454543,-59.26829268292682
32.72727272727273,-59.26829268292682
40.909090909090914,-59.26829268292682
49.090909090909086,-59.26829268292682
57.27272727272727,-59.26829268292682
65.45454545454545,-59.26829268292682
73.63636363636363,-59.26829268292682
81.81818181818183,-59.26829268292682
90.0,-59.26829268292682
98.18181818181817,-59.26829268292682
106.36363636363636,-59.26829268292682
114.54545454545455,-59.26829268292682
122.72727272727273,-59.26829268292682
130.9090909090909,-59.26829268292682
