target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration,block_number
58_26,2026-04-25 04:46:39.661,2026-04-25 04:48:19.661,1.666666666666714,153.52941176470588 deg,-29.220779220779225 deg,{},10
TransitionBlock,2026-04-25 04:48:19.661,2026-04-25 04:48:20.830,0.019482096261675963,,,[],10
52_22,2026-04-25 04:48:20.830,2026-04-25 04:50:00.830,1.666666666666714,153.44262295081967 deg,-38.57142857142857 deg,{},10
TransitionBlock,2026-04-25 04:50:00.830,2026-04-25 04:50:02.279,0.024145036303604428,,,[],10
42_18,2026-04-25 04:50:02.279,2026-04-25 04:51:42.279,1.666666666666714,144.0 deg,-47.922077922077925 deg,{},10
48_20,2026-04-25 04:51:42.279,2026-04-25 04:53:22.279,1.666666666666714,151.57894736842104 deg,-43.24675324675325 deg,{},10
TransitionBlock,2026-04-25 04:53:22.279,2026-04-25 04:53:24.622,0.039060633327654415,,,[],10
60_28,2026-04-25 04:53:24.622,2026-04-25 04:55:04.622,1.666666666666714,153.19148936170214 deg,-24.545454545454543 deg,{},10
TransitionBlock,2026-04-25 04:55:04.622,2026-04-25 04:55:05.839,0.020271045416802025,,,[],10
56_24,2026-04-25 04:55:05.839,2026-04-25 04:56:45.839,1.666666666666714,156.27906976744185 deg,-33.896103896103895 deg,{},10
Unused Time,2026-04-25 04:56:45.839,2026-04-25 05:04:52.311,8.10786661728013,,,,10
59_27,2026-04-25 05:04:52.311,2026-04-25 05:06:32.311,1.666666666666714,153.91304347826087 deg,-26.883116883116884 deg,{},11
TransitionBlock,2026-04-25 05:06:32.311,2026-04-25 05:06:33.509,0.019972327521262656,,,[],11
53_23,2026-04-25 05:06:33.509,2026-04-25 05:08:13.509,1.666666666666714,151.42857142857144 deg,-36.23376623376624 deg,{},11
57_25,2026-04-25 05:08:13.509,2026-04-25 05:09:53.509,1.666666666666714,154.28571428571428 deg,-31.558441558441565 deg,{},11
TransitionBlock,2026-04-25 05:09:53.509,2026-04-25 05:09:54.681,0.01952730439986894,,,[],11
61_29,2026-04-25 05:09:54.681,2026-04-25 05:11:34.681,1.666666666666714,153.56643356643357 deg,-22.207792207792203 deg,{},11
TransitionBlock,2026-04-25 05:11:34.681,2026-04-25 05:11:36.476,0.029930349926967637,,,[],11
55_23,2026-04-25 05:11:36.476,2026-04-25 05:13:16.476,1.666666666666714,157.14285714285717 deg,-36.23376623376624 deg,{},11
TransitionBlock,2026-04-25 05:13:16.476,2026-04-25 05:13:17.664,0.019796994284853042,,,[],11
61_27,2026-04-25 05:13:17.664,2026-04-25 05:14:57.664,1.666666666666714,159.1304347826087 deg,-26.883116883116884 deg,{},11
59_25,2026-04-25 05:14:57.664,2026-04-25 05:16:37.664,1.666666666666714,159.69924812030075 deg,-31.558441558441565 deg,{},11
TransitionBlock,2026-04-25 05:16:37.664,2026-04-25 05:16:38.904,0.020660476935994154,,,[],11
51_21,2026-04-25 05:16:38.904,2026-04-25 05:18:18.904,1.666666666666714,155.59322033898303 deg,-40.909090909090914 deg,{},11
TransitionBlock,2026-04-25 05:18:18.904,2026-04-25 05:18:21.263,0.039320420494153296,,,[],11
63_29,2026-04-25 05:18:21.263,2026-04-25 05:20:01.263,1.666666666666714,158.6013986013986 deg,-22.207792207792203 deg,{},11
TransitionBlock,2026-04-25 05:20:01.263,2026-04-25 05:20:03.076,0.03021978934643954,,,[],11
57_23,2026-04-25 05:20:03.076,2026-04-25 05:21:43.076,1.666666666666714,162.85714285714286 deg,-36.23376623376624 deg,{},11
TransitionBlock,2026-04-25 05:21:43.076,2026-04-25 05:21:44.522,0.024092125547348076,,,[],11
47_19,2026-04-25 05:21:44.522,2026-04-25 05:23:24.522,1.666666666666714,153.81818181818178 deg,-45.58441558441559 deg,{},11
TransitionBlock,2026-04-25 05:23:24.522,2026-04-25 05:23:28.073,0.059182521030116675,,,[],11
65_31,2026-04-25 05:23:28.073,2026-04-25 05:25:08.073,1.666666666666714,159.18367346938774 deg,-17.532467532467535 deg,{},11
TransitionBlock,2026-04-25 05:25:08.073,2026-04-25 05:25:09.385,0.021872803588181,,,[],11
63_27,2026-04-25 05:25:09.385,2026-04-25 05:26:49.385,1.666666666666714,164.34782608695653 deg,-26.883116883116884 deg,{},11
TransitionBlock,2026-04-25 05:26:49.385,2026-04-25 05:26:51.160,0.029575806993236142,,,[],11
53_21,2026-04-25 05:26:51.160,2026-04-25 05:28:31.160,1.666666666666714,161.69491525423726 deg,-40.909090909090914 deg,{},11
Unused Time,2026-04-25 05:28:31.160,2026-04-25 05:34:52.311,6.352515746597636,,,,11
62_28,2026-04-25 05:34:52.311,2026-04-25 05:36:32.311,1.666666666666714,158.29787234042553 deg,-24.545454545454543 deg,{},12
60_26,2026-04-25 05:36:32.311,2026-04-25 05:38:12.311,1.666666666666714,158.82352941176472 deg,-29.220779220779225 deg,{},12
64_28,2026-04-25 05:38:12.311,2026-04-25 05:39:52.311,1.666666666666714,163.40425531914894 deg,-24.545454545454543 deg,{},12
62_26,2026-04-25 05:39:52.311,2026-04-25 05:41:32.311,1.666666666666714,164.11764705882354 deg,-29.220779220779225 deg,{},12
58_24,2026-04-25 05:41:32.311,2026-04-25 05:43:12.311,1.666666666666714,161.86046511627904 deg,-33.896103896103895 deg,{},12
TransitionBlock,2026-04-25 05:43:12.311,2026-04-25 05:43:14.067,0.029267575880282948,,,[],12
66_30,2026-04-25 05:43:14.067,2026-04-25 05:44:54.067,1.666666666666714,162.73972602739727 deg,-19.870129870129876 deg,{},12
TransitionBlock,2026-04-25 05:44:54.067,2026-04-25 05:44:56.433,0.039440780568860134,,,[],12
54_22,2026-04-25 05:44:56.433,2026-04-25 05:46:36.433,1.666666666666714,159.34426229508196 deg,-38.57142857142857 deg,{},12
TransitionBlock,2026-04-25 05:46:36.433,2026-04-25 05:46:38.437,0.033403036930685914,,,[],12
66_28,2026-04-25 05:46:38.437,2026-04-25 05:48:18.437,1.666666666666714,168.51063829787233 deg,-24.545454545454543 deg,{},12
TransitionBlock,2026-04-25 05:48:18.437,2026-04-25 05:48:19.612,0.01957768220131939,,,[],12
60_24,2026-04-25 05:48:19.612,2026-04-25 05:49:59.612,1.666666666666714,167.44186046511626 deg,-33.896103896103895 deg,{},12
64_26,2026-04-25 05:49:59.612,2026-04-25 05:51:39.612,1.666666666666714,169.41176470588235 deg,-29.220779220779225 deg,{},12
TransitionBlock,2026-04-25 05:51:39.612,2026-04-25 05:51:40.798,0.019757781361544602,,,[],12
68_30,2026-04-25 05:51:40.798,2026-04-25 05:53:20.798,1.666666666666714,167.67123287671234 deg,-19.870129870129876 deg,{},12
TransitionBlock,2026-04-25 05:53:20.798,2026-04-25 05:53:23.150,0.03920734132684345,,,[],12
56_22,2026-04-25 05:53:23.150,2026-04-25 05:55:03.150,1.666666666666714,165.24590163934425 deg,-38.57142857142857 deg,{},12
50_20,2026-04-25 05:55:03.150,2026-04-25 05:56:43.150,1.666666666666714,157.89473684210526 deg,-43.24675324675325 deg,{},12
TransitionBlock,2026-04-25 05:56:43.150,2026-04-25 05:56:45.030,0.031328359081648216,,,[],12
62_24,2026-04-25 05:56:45.030,2026-04-25 05:58:25.030,1.666666666666714,173.02325581395348 deg,-33.896103896103895 deg,{},12
Unused Time,2026-04-25 05:58:25.030,2026-04-25 06:04:52.311,6.454684109314872,,,,12
61_25,2026-04-25 06:04:52.311,2026-04-25 06:06:32.311,1.666666666666714,165.1127819548872 deg,-31.558441558441565 deg,{},13
TransitionBlock,2026-04-25 06:06:32.311,2026-04-25 06:06:33.545,0.02056895348773402,,,[],13
67_29,2026-04-25 06:06:33.545,2026-04-25 06:08:13.545,1.666666666666634,168.6713286713287 deg,-22.207792207792203 deg,{},13
65_27,2026-04-25 06:08:13.545,2026-04-25 06:09:53.545,1.666666666666714,169.56521739130434 deg,-26.883116883116884 deg,{},13
63_25,2026-04-25 06:09:53.545,2026-04-25 06:11:33.545,1.666666666666714,170.52631578947367 deg,-31.558441558441565 deg,{},13
TransitionBlock,2026-04-25 06:11:33.545,2026-04-25 06:11:34.766,0.020354461963831838,,,[],13
69_29,2026-04-25 06:11:34.766,2026-04-25 06:13:14.766,1.666666666666634,173.70629370629374 deg,-22.207792207792203 deg,{},13
TransitionBlock,2026-04-25 06:13:14.766,2026-04-25 06:13:16.606,0.030663330863553995,,,[],13
59_23,2026-04-25 06:13:16.606,2026-04-25 06:14:56.606,1.666666666666714,168.57142857142858 deg,-36.23376623376624 deg,{},13
TransitionBlock,2026-04-25 06:14:56.606,2026-04-25 06:14:57.948,0.02237183365089379,,,[],13
67_27,2026-04-25 06:14:57.948,2026-04-25 06:16:37.948,1.666666666666714,174.78260869565216 deg,-26.883116883116884 deg,{},13
TransitionBlock,2026-04-25 06:16:37.948,2026-04-25 06:16:39.122,0.019559224196434855,,,[],13
71_31,2026-04-25 06:16:39.122,2026-04-25 06:18:19.122,1.666666666666714,173.87755102040816 deg,-17.532467532467535 deg,{},13
TransitionBlock,2026-04-25 06:18:19.122,2026-04-25 06:18:20.891,0.029480141502506996,,,[],13
65_25,2026-04-25 06:18:20.891,2026-04-25 06:20:00.891,1.666666666666714,175.93984962406014 deg,-31.558441558441565 deg,{},13
61_23,2026-04-25 06:20:00.891,2026-04-25 06:21:40.891,1.666666666666714,174.28571428571428 deg,-36.23376623376624 deg,{},13
55_21,2026-04-25 06:21:40.891,2026-04-25 06:23:20.891,1.666666666666714,167.79661016949154 deg,-40.909090909090914 deg,{},13
TransitionBlock,2026-04-25 06:23:20.891,2026-04-25 06:23:23.498,0.04345218953841545,,,[],13
71_29,2026-04-25 06:23:23.498,2026-04-25 06:25:03.498,1.666666666666634,178.74125874125875 deg,-22.207792207792203 deg,{},13
69_27,2026-04-25 06:25:03.498,2026-04-25 06:26:43.498,1.666666666666714,180.0 deg,-26.883116883116884 deg,{},13
Unused Time,2026-04-25 06:26:43.498,2026-04-25 06:34:52.311,8.14688319812964,,,,13
58_22,2026-04-25 06:34:52.311,2026-04-25 06:36:32.311,1.666666666666714,171.14754098360655 deg,-38.57142857142857 deg,{},14
TransitionBlock,2026-04-25 06:36:32.311,2026-04-25 06:36:33.536,0.020425035327304997,,,[],14
66_26,2026-04-25 06:36:33.536,2026-04-25 06:38:13.536,1.666666666666634,174.7058823529412 deg,-29.220779220779225 deg,{},14
64_24,2026-04-25 06:38:13.536,2026-04-25 06:39:53.536,1.666666666666714,178.6046511627907 deg,-33.896103896103895 deg,{},14
60_22,2026-04-25 06:39:53.536,2026-04-25 06:41:33.536,1.666666666666714,177.04918032786884 deg,-38.57142857142857 deg,{},14
54_20,2026-04-25 06:41:33.536,2026-04-25 06:43:13.536,1.666666666666714,170.52631578947367 deg,-43.24675324675325 deg,{},14
TransitionBlock,2026-04-25 06:43:13.536,2026-04-25 06:43:15.530,0.03322420264074921,,,[],14
68_26,2026-04-25 06:43:15.530,2026-04-25 06:44:55.530,1.666666666666714,180.0 deg,-29.220779220779225 deg,{},14
70_28,2026-04-25 06:44:55.530,2026-04-25 06:46:35.530,1.666666666666714,178.72340425531917 deg,-24.545454545454543 deg,{},14
TransitionBlock,2026-04-25 06:46:35.530,2026-04-25 06:46:37.875,0.039094977029696665,,,[],14
56_20,2026-04-25 06:46:37.875,2026-04-25 06:48:17.875,1.666666666666634,176.8421052631579 deg,-43.24675324675325 deg,{},14
62_22,2026-04-25 06:48:17.875,2026-04-25 06:49:57.875,1.666666666666714,182.95081967213113 deg,-38.57142857142857 deg,{},14
66_24,2026-04-25 06:49:57.875,2026-04-25 06:51:37.875,1.666666666666714,184.1860465116279 deg,-33.896103896103895 deg,{},14
TransitionBlock,2026-04-25 06:51:37.875,2026-04-25 06:51:39.997,0.035356438396707546,,,[],14
50_18,2026-04-25 06:51:39.997,2026-04-25 06:53:19.997,1.666666666666714,171.42857142857144 deg,-47.922077922077925 deg,{},14
TransitionBlock,2026-04-25 06:53:19.997,2026-04-25 06:53:22.689,0.04487637060245575,,,[],14
70_26,2026-04-25 06:53:22.689,2026-04-25 06:55:02.689,1.666666666666714,185.29411764705884 deg,-29.220779220779225 deg,{},14
Unused Time,2026-04-25 06:55:02.689,2026-04-25 07:04:52.311,9.82702297600273,,,,14
59_21,2026-04-25 07:04:52.311,2026-04-25 07:06:32.311,1.666666666666714,180.0 deg,-40.909090909090914 deg,{},15
63_23,2026-04-25 07:06:32.311,2026-04-25 07:08:12.311,1.666666666666714,180.0 deg,-36.23376623376624 deg,{},15
TransitionBlock,2026-04-25 07:08:12.311,2026-04-25 07:08:13.480,0.019480932169653187,,,[],15
55_19,2026-04-25 07:08:13.480,2026-04-25 07:09:53.480,1.666666666666714,180.0 deg,-45.58441558441559 deg,{},15
TransitionBlock,2026-04-25 07:09:53.480,2026-04-25 07:09:55.238,0.029303271838792,,,[],15
67_25,2026-04-25 07:09:55.238,2026-04-25 07:11:35.238,1.666666666666714,181.35338345864665 deg,-31.558441558441565 deg,{},15
TransitionBlock,2026-04-25 07:11:35.238,2026-04-25 07:11:36.500,0.02104273334779805,,,[],15
61_21,2026-04-25 07:11:36.500,2026-04-25 07:13:16.500,1.666666666666714,186.10169491525423 deg,-40.909090909090914 deg,{},15
65_23,2026-04-25 07:13:16.500,2026-04-25 07:14:56.500,1.666666666666714,185.71428571428572 deg,-36.23376623376624 deg,{},15
TransitionBlock,2026-04-25 07:14:56.500,2026-04-25 07:14:58.517,0.033616351192460314,,,[],15
49_17,2026-04-25 07:14:58.517,2026-04-25 07:16:38.517,1.666666666666714,174.65346534653466 deg,-50.259740259740255 deg,{},15
TransitionBlock,2026-04-25 07:16:38.517,2026-04-25 07:16:39.670,0.01921641942930208,,,[],15
57_19,2026-04-25 07:16:39.670,2026-04-25 07:18:19.670,1.666666666666714,186.54545454545453 deg,-45.58441558441559 deg,{},15
51_17,2026-04-25 07:18:19.670,2026-04-25 07:19:59.670,1.666666666666714,181.78217821782175 deg,-50.259740259740255 deg,{},15
TransitionBlock,2026-04-25 07:19:59.670,2026-04-25 07:20:02.054,0.03972157740248505,,,[],15
69_25,2026-04-25 07:20:02.054,2026-04-25 07:21:42.054,1.666666666666714,186.7669172932331 deg,-31.558441558441565 deg,{},15
67_23,2026-04-25 07:21:42.054,2026-04-25 07:23:22.054,1.666666666666714,191.42857142857144 deg,-36.23376623376624 deg,{},15
63_21,2026-04-25 07:23:22.054,2026-04-25 07:25:02.054,1.666666666666714,192.20338983050848 deg,-40.909090909090914 deg,{},15
TransitionBlock,2026-04-25 07:25:02.054,2026-04-25 07:25:03.949,0.03159203024527102,,,[],15
71_27,2026-04-25 07:25:03.949,2026-04-25 07:26:43.949,1.666666666666714,185.21739130434784 deg,-26.883116883116884 deg,{},15
Unused Time,2026-04-25 07:26:43.949,2026-04-25 07:34:52.311,8.13936001770701,,,,15
58_20,2026-04-25 07:34:52.311,2026-04-25 07:36:32.311,1.666666666666714,183.1578947368421 deg,-43.24675324675325 deg,{},16
64_22,2026-04-25 07:36:32.311,2026-04-25 07:38:12.311,1.666666666666714,188.85245901639345 deg,-38.57142857142857 deg,{},16
60_20,2026-04-25 07:38:12.311,2026-04-25 07:39:52.311,1.666666666666714,189.47368421052633 deg,-43.24675324675325 deg,{},16
54_18,2026-04-25 07:39:52.311,2026-04-25 07:41:32.311,1.666666666666714,185.1428571428571 deg,-47.922077922077925 deg,{},16
TransitionBlock,2026-04-25 07:41:32.311,2026-04-25 07:41:34.117,0.030100141888578236,,,[],16
68_24,2026-04-25 07:41:34.117,2026-04-25 07:43:14.117,1.666666666666714,189.7674418604651 deg,-33.896103896103895 deg,{},16
TransitionBlock,2026-04-25 07:43:14.117,2026-04-25 07:43:15.882,0.02942830096952065,,,[],16
56_18,2026-04-25 07:43:15.882,2026-04-25 07:44:55.882,1.666666666666714,192.00000000000003 deg,-47.922077922077925 deg,{},16
TransitionBlock,2026-04-25 07:44:55.882,2026-04-25 07:44:57.078,0.019920299629347937,,,[],16
66_22,2026-04-25 07:44:57.078,2026-04-25 07:46:37.078,1.666666666666714,194.75409836065575 deg,-38.57142857142857 deg,{},16
62_20,2026-04-25 07:46:37.078,2026-04-25 07:48:17.078,1.666666666666714,195.78947368421052 deg,-43.24675324675325 deg,{},16
TransitionBlock,2026-04-25 07:48:17.078,2026-04-25 07:48:18.435,0.022625395513120594,,,[],16
50_16,2026-04-25 07:48:18.435,2026-04-25 07:49:58.435,1.666666666666714,187.5 deg,-52.5974025974026 deg,{},16
TransitionBlock,2026-04-25 07:49:58.435,2026-04-25 07:50:00.876,0.04068306174366931,,,[],16
70_24,2026-04-25 07:50:00.876,2026-04-25 07:51:40.876,1.666666666666634,195.34883720930233 deg,-33.896103896103895 deg,{},16
TransitionBlock,2026-04-25 07:51:40.876,2026-04-25 07:51:42.660,0.029729938419338353,,,[],16
58_18,2026-04-25 07:51:42.660,2026-04-25 07:53:22.660,1.666666666666634,198.8571428571429 deg,-47.922077922077925 deg,{},16
52_16,2026-04-25 07:53:22.660,2026-04-25 07:55:02.660,1.666666666666714,194.99999999999997 deg,-52.5974025974026 deg,{},16
TransitionBlock,2026-04-25 07:55:02.660,2026-04-25 07:55:04.480,0.030338363791662104,,,[],16
68_22,2026-04-25 07:55:04.480,2026-04-25 07:56:44.480,1.666666666666634,200.655737704918 deg,-38.57142857142857 deg,{},16
Unused Time,2026-04-25 07:56:44.480,2026-04-25 08:04:52.311,8.130507831377773,,,,16
59_19,2026-04-25 08:04:52.311,2026-04-25 08:06:32.311,1.666666666666714,193.0909090909091 deg,-45.58441558441559 deg,{},17
53_17,2026-04-25 08:06:32.311,2026-04-25 08:08:12.311,1.666666666666714,188.9108910891089 deg,-50.259740259740255 deg,{},17
55_17,2026-04-25 08:08:12.311,2026-04-25 08:09:52.311,1.666666666666714,196.039603960396 deg,-50.259740259740255 deg,{},17
TransitionBlock,2026-04-25 08:09:52.311,2026-04-25 08:09:53.496,0.01975600505652153,,,[],17
65_21,2026-04-25 08:09:53.496,2026-04-25 08:11:33.496,1.666666666666714,198.3050847457627 deg,-40.909090909090914 deg,{},17
61_19,2026-04-25 08:11:33.496,2026-04-25 08:13:13.496,1.666666666666714,199.63636363636363 deg,-45.58441558441559 deg,{},17
TransitionBlock,2026-04-25 08:13:13.496,2026-04-25 08:13:14.688,0.019869383959347786,,,[],17
69_23,2026-04-25 08:13:14.688,2026-04-25 08:14:54.688,1.666666666666634,197.14285714285717 deg,-36.23376623376624 deg,{},17
TransitionBlock,2026-04-25 08:14:54.688,2026-04-25 08:14:57.043,0.03924554606813402,,,[],17
49_15,2026-04-25 08:14:57.043,2026-04-25 08:16:37.043,1.666666666666714,193.84615384615384 deg,-54.935064935064936 deg,{},17
57_17,2026-04-25 08:16:37.043,2026-04-25 08:18:17.043,1.666666666666714,203.16831683168317 deg,-50.259740259740255 deg,{},17
TransitionBlock,2026-04-25 08:18:17.043,2026-04-25 08:18:18.217,0.01956309969603609,,,[],17
67_21,2026-04-25 08:18:18.217,2026-04-25 08:19:58.217,1.666666666666714,204.40677966101697 deg,-40.909090909090914 deg,{},17
TransitionBlock,2026-04-25 08:19:58.217,2026-04-25 08:19:59.571,0.022577552633702425,,,[],17
73_25,2026-04-25 08:19:59.571,2026-04-25 08:21:39.571,1.666666666666714,197.59398496240604 deg,-31.558441558441565 deg,{},17
TransitionBlock,2026-04-25 08:21:39.571,2026-04-25 08:21:41.512,0.03234998851917581,,,[],17
63_19,2026-04-25 08:21:41.512,2026-04-25 08:23:21.512,1.666666666666714,206.1818181818182 deg,-45.58441558441559 deg,{},17
TransitionBlock,2026-04-25 08:23:21.512,2026-04-25 08:23:22.722,0.020166449697196498,,,[],17
71_23,2026-04-25 08:23:22.722,2026-04-25 08:25:02.722,1.666666666666714,202.8571428571429 deg,-36.23376623376624 deg,{},17
TransitionBlock,2026-04-25 08:25:02.722,2026-04-25 08:25:05.062,0.03899249176997799,,,[],17
51_15,2026-04-25 08:25:05.062,2026-04-25 08:26:45.062,1.666666666666714,201.75824175824175 deg,-54.935064935064936 deg,{},17
43_13,2026-04-25 08:26:45.062,2026-04-25 08:28:25.062,1.666666666666714,191.11111111111111 deg,-59.6103896103896 deg,{},17
Unused Time,2026-04-25 08:28:25.062,2026-04-25 08:34:52.311,6.454146149266045,,,,17
64_20,2026-04-25 08:34:52.311,2026-04-25 08:36:32.311,1.666666666666714,202.1052631578947 deg,-43.24675324675325 deg,{},18
60_18,2026-04-25 08:36:32.311,2026-04-25 08:38:12.311,1.666666666666714,205.71428571428572 deg,-47.922077922077925 deg,{},18
54_16,2026-04-25 08:38:12.311,2026-04-25 08:39:52.311,1.666666666666714,202.49999999999997 deg,-52.5974025974026 deg,{},18
TransitionBlock,2026-04-25 08:39:52.311,2026-04-25 08:39:53.579,0.021144054544510738,,,[],18
66_20,2026-04-25 08:39:53.579,2026-04-25 08:41:33.579,1.666666666666714,208.42105263157896 deg,-43.24675324675325 deg,{},18
70_22,2026-04-25 08:41:33.579,2026-04-25 08:43:13.579,1.666666666666714,206.55737704918033 deg,-38.57142857142857 deg,{},18
TransitionBlock,2026-04-25 08:43:13.579,2026-04-25 08:43:15.962,0.03971195562039398,,,[],18
48_14,2026-04-25 08:43:15.962,2026-04-25 08:44:55.962,1.666666666666714,200.93023255813952 deg,-57.27272727272727 deg,{},18
56_16,2026-04-25 08:44:55.962,2026-04-25 08:46:35.962,1.666666666666714,210.0 deg,-52.5974025974026 deg,{},18
62_18,2026-04-25 08:46:35.962,2026-04-25 08:48:15.962,1.666666666666714,212.57142857142856 deg,-47.922077922077925 deg,{},18
TransitionBlock,2026-04-25 08:48:15.962,2026-04-25 08:48:17.157,0.019908593464030844,,,[],18
50_14,2026-04-25 08:48:17.157,2026-04-25 08:49:57.157,1.666666666666714,209.30232558139537 deg,-57.27272727272727 deg,{},18
TransitionBlock,2026-04-25 08:49:57.157,2026-04-25 08:50:00.088,0.04886054951899865,,,[],18
74_24,2026-04-25 08:50:00.088,2026-04-25 08:51:40.088,1.666666666666714,206.5116279069767 deg,-33.896103896103895 deg,{},18
TransitionBlock,2026-04-25 08:51:40.088,2026-04-25 08:51:41.505,0.02361538092900517,,,[],18
68_20,2026-04-25 08:51:41.505,2026-04-25 08:53:21.505,1.666666666666714,214.73684210526315 deg,-43.24675324675325 deg,{},18
72_22,2026-04-25 08:53:21.505,2026-04-25 08:55:01.505,1.666666666666714,212.4590163934426 deg,-38.57142857142857 deg,{},18
Unused Time,2026-04-25 08:55:01.505,2026-04-25 09:04:52.311,9.846759465922466,,,,18
69_21,2026-04-25 09:04:52.311,2026-04-25 09:06:32.311,1.666666666666634,210.50847457627117 deg,-40.909090909090914 deg,{},19
65_19,2026-04-25 09:06:32.311,2026-04-25 09:08:12.311,1.666666666666714,212.72727272727272 deg,-45.58441558441559 deg,{},19
TransitionBlock,2026-04-25 09:08:12.311,2026-04-25 09:08:13.543,0.0205420636723197,,,[],19
73_23,2026-04-25 09:08:13.543,2026-04-25 09:09:53.543,1.666666666666714,208.57142857142856 deg,-36.23376623376624 deg,{},19
TransitionBlock,2026-04-25 09:09:53.543,2026-04-25 09:09:55.303,0.029335348769823355,,,[],19
59_17,2026-04-25 09:09:55.303,2026-04-25 09:11:35.303,1.666666666666714,210.2970297029703 deg,-50.259740259740255 deg,{},19
TransitionBlock,2026-04-25 09:11:35.303,2026-04-25 09:11:36.595,0.021526262577253874,,,[],19
71_21,2026-04-25 09:11:36.595,2026-04-25 09:13:16.595,1.666666666666714,216.6101694915254 deg,-40.909090909090914 deg,{},19
75_23,2026-04-25 09:13:16.595,2026-04-25 09:14:56.595,1.666666666666714,214.2857142857143 deg,-36.23376623376624 deg,{},19
TransitionBlock,2026-04-25 09:14:56.595,2026-04-25 09:14:57.854,0.02099197044983292,,,[],19
67_19,2026-04-25 09:14:57.854,2026-04-25 09:16:37.854,1.666666666666634,219.27272727272725 deg,-45.58441558441559 deg,{},19
61_17,2026-04-25 09:16:37.854,2026-04-25 09:18:17.854,1.666666666666714,217.4257425742574 deg,-50.259740259740255 deg,{},19
53_15,2026-04-25 09:18:17.854,2026-04-25 09:19:57.854,1.666666666666714,209.6703296703297 deg,-54.935064935064936 deg,{},19
TransitionBlock,2026-04-25 09:19:57.854,2026-04-25 09:20:00.800,0.04908784819040335,,,[],19
79_25,2026-04-25 09:20:00.800,2026-04-25 09:21:40.800,1.666666666666714,213.83458646616543 deg,-31.558441558441565 deg,{},19
77_23,2026-04-25 09:21:40.800,2026-04-25 09:23:20.800,1.666666666666714,220.0 deg,-36.23376623376624 deg,{},19
TransitionBlock,2026-04-25 09:23:20.800,2026-04-25 09:23:23.147,0.039113306302276385,,,[],19
55_15,2026-04-25 09:23:23.147,2026-04-25 09:25:03.147,1.666666666666714,217.5824175824176 deg,-54.935064935064936 deg,{},19
TransitionBlock,2026-04-25 09:25:03.147,2026-04-25 09:25:04.950,0.030064367108320056,,,[],19
73_21,2026-04-25 09:25:04.950,2026-04-25 09:26:44.950,1.666666666666714,222.71186440677965 deg,-40.909090909090914 deg,{},19
Unused Time,2026-04-25 09:26:44.950,2026-04-25 09:34:52.311,8.122672166262621,,,,19
