target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration,block_number
24_16,2026-04-25 00:46:32.311,2026-04-25 00:48:12.311,1.666666666666714,90.0 deg,-52.5974025974026 deg,{},2
TransitionBlock,2026-04-25 00:48:12.311,2026-04-25 00:48:13.877,0.026100551799697058,,,[],2
22_12,2026-04-25 00:48:13.877,2026-04-25 00:49:53.877,1.666666666666714,105.6 deg,-61.94805194805195 deg,{},2
24_14,2026-04-25 00:49:53.877,2026-04-25 00:51:33.877,1.666666666666714,100.46511627906976 deg,-57.27272727272727 deg,{},2
TransitionBlock,2026-04-25 00:51:33.877,2026-04-25 00:51:35.675,0.029979204201673326,,,[],2
24_18,2026-04-25 00:51:35.675,2026-04-25 00:53:15.675,1.666666666666714,82.28571428571429 deg,-47.922077922077925 deg,{},2
TransitionBlock,2026-04-25 00:53:15.675,2026-04-25 00:53:17.021,0.022424826854159363,,,[],2
26_16,2026-04-25 00:53:17.021,2026-04-25 00:54:57.021,1.666666666666714,97.5 deg,-52.5974025974026 deg,{},2
26_18,2026-04-25 00:54:57.021,2026-04-25 00:56:37.021,1.666666666666714,89.14285714285715 deg,-47.922077922077925 deg,{},2
Unused Time,2026-04-25 00:56:37.021,2026-04-25 01:04:52.311,8.25482875047756,,,,2
23_15,2026-04-25 01:04:52.311,2026-04-25 01:06:32.311,1.666666666666714,90.989010989011 deg,-54.935064935064936 deg,{},3
23_13,2026-04-25 01:06:32.311,2026-04-25 01:08:12.311,1.666666666666714,102.22222222222224 deg,-59.6103896103896 deg,{},3
25_15,2026-04-25 01:08:12.311,2026-04-25 01:09:52.311,1.666666666666714,98.90109890109888 deg,-54.935064935064936 deg,{},3
25_17,2026-04-25 01:09:52.311,2026-04-25 01:11:32.311,1.666666666666714,89.10891089108911 deg,-50.259740259740255 deg,{},3
TransitionBlock,2026-04-25 01:11:32.311,2026-04-25 01:11:34.849,0.042303659704536756,,,[],3
17_9,2026-04-25 01:11:34.849,2026-04-25 01:13:14.849,1.666666666666714,105.51724137931036 deg,-68.96103896103897 deg,{},3
21_11,2026-04-25 01:13:14.849,2026-04-25 01:14:54.849,1.666666666666714,108.0 deg,-64.28571428571429 deg,{},3
TransitionBlock,2026-04-25 01:14:54.849,2026-04-25 01:14:56.767,0.031964203861196694,,,[],3
27_17,2026-04-25 01:14:56.767,2026-04-25 01:16:36.767,1.666666666666714,96.23762376237624 deg,-50.259740259740255 deg,{},3
TransitionBlock,2026-04-25 01:16:36.767,2026-04-25 01:16:38.343,0.026272588472284752,,,[],3
25_13,2026-04-25 01:16:38.343,2026-04-25 01:18:18.343,1.666666666666714,111.1111111111111 deg,-59.6103896103896 deg,{},3
27_15,2026-04-25 01:18:18.343,2026-04-25 01:19:58.343,1.666666666666714,106.81318681318682 deg,-54.935064935064936 deg,{},3
TransitionBlock,2026-04-25 01:19:58.343,2026-04-25 01:20:00.215,0.031194869096982103,,,[],3
27_19,2026-04-25 01:20:00.215,2026-04-25 01:21:40.215,1.666666666666714,88.36363636363636 deg,-45.58441558441559 deg,{},3
TransitionBlock,2026-04-25 01:21:40.215,2026-04-25 01:21:43.680,0.0577595810642606,,,[],3
19_9,2026-04-25 01:21:43.680,2026-04-25 01:23:23.680,1.666666666666714,117.93103448275862 deg,-68.96103896103897 deg,{},3
23_11,2026-04-25 01:23:23.680,2026-04-25 01:25:03.680,1.666666666666714,118.28571428571428 deg,-64.28571428571429 deg,{},3
TransitionBlock,2026-04-25 01:25:03.680,2026-04-25 01:25:05.691,0.033518309145978975,,,[],3
29_17,2026-04-25 01:25:05.691,2026-04-25 01:26:45.691,1.666666666666714,103.36633663366337 deg,-50.259740259740255 deg,{},3
29_19,2026-04-25 01:26:45.691,2026-04-25 01:28:25.691,1.666666666666714,94.90909090909088 deg,-45.58441558441559 deg,{},3
Unused Time,2026-04-25 01:28:25.691,2026-04-25 01:34:52.311,6.443653455320817,,,,3
28_18,2026-04-25 01:34:52.311,2026-04-25 01:36:32.311,1.666666666666714,96.0 deg,-47.922077922077925 deg,{},4
28_16,2026-04-25 01:36:32.311,2026-04-25 01:38:12.311,1.666666666666714,105.0 deg,-52.5974025974026 deg,{},4
30_18,2026-04-25 01:38:12.311,2026-04-25 01:39:52.311,1.666666666666714,102.85714285714286 deg,-47.922077922077925 deg,{},4
TransitionBlock,2026-04-25 01:39:52.311,2026-04-25 01:39:53.563,0.020879829887796575,,,[],4
26_14,2026-04-25 01:39:53.563,2026-04-25 01:41:33.563,1.666666666666714,108.83720930232558 deg,-57.27272727272727 deg,{},4
TransitionBlock,2026-04-25 01:41:33.563,2026-04-25 01:41:35.639,0.034585124729371586,,,[],4
30_20,2026-04-25 01:41:35.639,2026-04-25 01:43:15.639,1.666666666666714,94.73684210526316 deg,-43.24675324675325 deg,{},4
TransitionBlock,2026-04-25 01:43:15.639,2026-04-25 01:43:17.522,0.03139212377309519,,,[],4
30_16,2026-04-25 01:43:17.522,2026-04-25 01:44:57.522,1.666666666666714,112.5 deg,-52.5974025974026 deg,{},4
TransitionBlock,2026-04-25 01:44:57.522,2026-04-25 01:44:59.030,0.025136293228147366,,,[],4
32_20,2026-04-25 01:44:59.030,2026-04-25 01:46:39.030,1.666666666666714,101.05263157894736 deg,-43.24675324675325 deg,{},4
32_18,2026-04-25 01:46:39.030,2026-04-25 01:48:19.030,1.666666666666714,109.71428571428572 deg,-47.922077922077925 deg,{},4
TransitionBlock,2026-04-25 01:48:19.030,2026-04-25 01:48:20.826,0.02992414814036337,,,[],4
24_12,2026-04-25 01:48:20.826,2026-04-25 01:50:00.826,1.666666666666714,115.2 deg,-61.94805194805195 deg,{},4
28_14,2026-04-25 01:50:00.826,2026-04-25 01:51:40.826,1.666666666666714,117.2093023255814 deg,-57.27272727272727 deg,{},4
TransitionBlock,2026-04-25 01:51:40.826,2026-04-25 01:51:42.743,0.0319510054311678,,,[],4
34_20,2026-04-25 01:51:42.743,2026-04-25 01:53:22.743,1.666666666666714,107.36842105263158 deg,-43.24675324675325 deg,{},4
TransitionBlock,2026-04-25 01:53:22.743,2026-04-25 01:53:24.315,0.026203350452966845,,,[],4
32_16,2026-04-25 01:53:24.315,2026-04-25 01:55:04.315,1.666666666666714,120.0 deg,-52.5974025974026 deg,{},4
34_18,2026-04-25 01:55:04.315,2026-04-25 01:56:44.315,1.666666666666714,116.57142857142858 deg,-47.922077922077925 deg,{},4
TransitionBlock,2026-04-25 01:56:44.315,2026-04-25 01:56:46.194,0.03131041668032353,,,[],4
34_22,2026-04-25 01:56:46.194,2026-04-25 01:58:26.194,1.666666666666714,100.327868852459 deg,-38.57142857142857 deg,{},4
Unused Time,2026-04-25 01:58:26.194,2026-04-25 02:04:52.311,6.4352843743428245,,,,4
31_19,2026-04-25 02:04:52.311,2026-04-25 02:06:32.311,1.666666666666714,101.45454545454544 deg,-45.58441558441559 deg,{},5
33_21,2026-04-25 02:06:32.311,2026-04-25 02:08:12.311,1.666666666666714,100.6779661016949 deg,-40.909090909090914 deg,{},5
33_19,2026-04-25 02:08:12.311,2026-04-25 02:09:52.311,1.666666666666714,108.0 deg,-45.58441558441559 deg,{},5
31_17,2026-04-25 02:09:52.311,2026-04-25 02:11:32.311,1.666666666666714,110.49504950495049 deg,-50.259740259740255 deg,{},5
TransitionBlock,2026-04-25 02:11:32.311,2026-04-25 02:11:33.524,0.02021371850670306,,,[],5
35_21,2026-04-25 02:11:33.524,2026-04-25 02:13:13.524,1.666666666666714,106.77966101694916 deg,-40.909090909090914 deg,{},5
35_19,2026-04-25 02:13:13.524,2026-04-25 02:14:53.524,1.666666666666714,114.54545454545456 deg,-45.58441558441559 deg,{},5
TransitionBlock,2026-04-25 02:14:53.524,2026-04-25 02:14:54.692,0.01948263661679661,,,[],5
29_15,2026-04-25 02:14:54.692,2026-04-25 02:16:34.692,1.666666666666714,114.72527472527472 deg,-54.935064935064936 deg,{},5
TransitionBlock,2026-04-25 02:16:34.692,2026-04-25 02:16:37.155,0.04103858585501996,,,[],5
37_23,2026-04-25 02:16:37.155,2026-04-25 02:18:17.155,1.666666666666714,105.71428571428572 deg,-36.23376623376624 deg,{},5
37_21,2026-04-25 02:18:17.155,2026-04-25 02:19:57.155,1.666666666666714,112.88135593220338 deg,-40.909090909090914 deg,{},5
TransitionBlock,2026-04-25 02:19:57.155,2026-04-25 02:19:58.394,0.02066120357586243,,,[],5
33_17,2026-04-25 02:19:58.394,2026-04-25 02:21:38.394,1.666666666666714,117.6237623762376 deg,-50.259740259740255 deg,{},5
TransitionBlock,2026-04-25 02:21:38.394,2026-04-25 02:21:40.235,0.03067023838323024,,,[],5
39_23,2026-04-25 02:21:40.235,2026-04-25 02:23:20.235,1.666666666666714,111.42857142857144 deg,-36.23376623376624 deg,{},5
TransitionBlock,2026-04-25 02:23:20.235,2026-04-25 02:23:21.715,0.02467955516046061,,,[],5
