target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration
icrs,2025-12-12 01:31:20.178,2025-12-12 01:31:55.178,0.5833333333333179,61.22448979591836 deg,-25.55555555555556 deg,{}
TransitionBlock,2025-12-12 01:31:55.178,2025-12-12 01:32:14.624,0.324114739579322,,,[]
icrs,2025-12-12 01:32:14.624,2025-12-12 01:32:49.624,0.5833333333333179,60.96774193548387 deg,-41.11111111111111 deg,{}
TransitionBlock,2025-12-12 01:32:49.624,2025-12-12 01:33:06.366,0.2790173818164554,,,[]
icrs,2025-12-12 01:33:06.366,2025-12-12 01:33:41.366,0.5833333333333179,62.49999999999999 deg,-27.777777777777786 deg,{}
TransitionBlock,2025-12-12 01:33:41.366,2025-12-12 01:34:14.275,0.5484835859376069,,,[]
icrs,2025-12-12 01:34:14.275,2025-12-12 01:34:49.275,0.5833333333333179,49.411764705882355 deg,-52.22222222222222 deg,{}
TransitionBlock,2025-12-12 01:34:49.275,2025-12-12 01:35:12.202,0.3821250372924645,,,[]
icrs,2025-12-12 01:35:12.202,2025-12-12 01:35:47.202,0.5833333333333179,63.20610687022901 deg,-36.66666666666667 deg,{}
TransitionBlock,2025-12-12 01:35:47.202,2025-12-12 01:35:58.851,0.19415609600523354,,,[]
icrs,2025-12-12 01:35:58.851,2025-12-12 01:36:33.851,0.5833333333333179,59.47826086956522 deg,-45.55555555555556 deg,{}
TransitionBlock,2025-12-12 01:36:33.851,2025-12-12 01:36:53.758,0.33177583129058164,,,[]
icrs,2025-12-12 01:36:53.758,2025-12-12 01:37:28.758,0.5833333333333179,63.82978723404255 deg,-30.000000000000004 deg,{}
TransitionBlock,2025-12-12 01:37:28.758,2025-12-12 01:37:34.317,0.09264372917344943,,,[]
icrs,2025-12-12 01:37:34.317,2025-12-12 01:38:09.317,0.5833333333333179,64.0 deg,-34.44444444444445 deg,{}
TransitionBlock,2025-12-12 01:38:09.317,2025-12-12 01:38:23.315,0.2333100111567532,,,[]
