ra_deg,dec_deg,visible_all_night
0.0,-90.0,False
0.0,-87.77777777777777,False
36.0,-87.77777777777777,False
72.0,-87.77777777777777,True
108.0,-87.77777777777777,False
144.0,-87.77777777777777,False
180.0,-87.77777777777777,False
216.0,-87.77777777777777,False
252.0,-87.77777777777777,False
288.0,-87.77777777777777,False
324.0,-87.77777777777777,False
0.0,-85.55555555555556,False
22.5,-85.55555555555556,False
45.0,-85.55555555555556,False
67.5,-85.55555555555556,True
90.0,-85.55555555555556,True
112.5,-85.55555555555556,False
135.0,-85.55555555555556,False
157.5,-85.55555555555556,False
180.0,-85.55555555555556,False
202.5,-85.55555555555556,False
225.0,-85.55555555555556,False
247.49999999999997,-85.55555555555556,False
270.0,-85.55555555555556,False
292.5,-85.55555555555556,False
315.0,-85.55555555555556,False
337.5,-85.55555555555556,False
0.0,-83.33333333333333,False
16.363636363636363,-83.33333333333333,False
32.72727272727273,-83.33333333333333,False
49.090909090909086,-83.33333333333333,True
65.45454545454545,-83.33333333333333,True
81.81818181818183,-83.33333333333333,True
98.18181818181816,-83.33333333333333,True
114.54545454545456,-83.33333333333333,False
130.9090909090909,-83.33333333333333,False
147.27272727272725,-83.33333333333333,False
163.63636363636363,-83.33333333333333,False
180.0,-83.33333333333333,False
196.36363636363637,-83.33333333333333,False
212.72727272727272,-83.33333333333333,False
229.0909090909091,-83.33333333333333,False
245.45454545454547,-83.33333333333333,False
261.8181818181818,-83.33333333333333,False
278.1818181818182,-83.33333333333333,False
294.5454545454545,-83.33333333333333,False
310.90909090909093,-83.33333333333333,False
327.2727272727273,-83.33333333333333,False
343.6363636363636,-83.33333333333333,False
0.0,-81.11111111111111,False
12.857142857142858,-81.11111111111111,False
25.714285714285715,-81.11111111111111,False
38.57142857142857,-81.11111111111111,False
51.42857142857143,-81.11111111111111,True
64.28571428571429,-81.11111111111111,True
77.14285714285714,-81.11111111111111,True
90.0,-81.11111111111111,True
102.85714285714286,-81.11111111111111,True
115.71428571428572,-81.11111111111111,False
128.57142857142858,-81.11111111111111,False
141.42857142857142,-81.11111111111111,False
154.28571428571428,-81.11111111111111,False
167.14285714285714,-81.11111111111111,False
180.0,-81.11111111111111,False
192.8571428571429,-81.11111111111111,False
205.71428571428572,-81.11111111111111,False
218.57142857142856,-81.11111111111111,False
231.42857142857144,-81.11111111111111,False
244.28571428571428,-81.11111111111111,False
257.14285714285717,-81.11111111111111,False
270.0,-81.11111111111111,False
282.85714285714283,-81.11111111111111,False
295.7142857142857,-81.11111111111111,False
308.57142857142856,-81.11111111111111,False
321.42857142857144,-81.11111111111111,False
334.2857142857143,-81.11111111111111,False
347.14285714285717,-81.11111111111111,False
0.0,-78.88888888888889,False
10.285714285714286,-78.88888888888889,False
20.571428571428573,-78.88888888888889,False
30.857142857142858,-78.88888888888889,False
41.142857142857146,-78.88888888888889,False
51.42857142857143,-78.88888888888889,True
61.714285714285715,-78.88888888888889,True
